Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest,Actual
Create Reviews Instances Pages ,1,,,,,,
Create Styles Instances Page,1,,,,,,
Create Breweries Instances Page,1,,,,,,
Create Beer Instances Page,1,,,,,,
Gather/Generate Beer Data,2,,,,,,
Create About Page,2,,,,,,
Create Styles Page,1,,,,,,
Create Breweries Page,1,,,,,,
Create Reviews Page,1,,,,,,
Create Beers Page,1,,,,,,
"As a frugal person, I want to be able to easily browse beers by ABV, so that I can get the best bang for my buck.",3,13/10/2017 21:44:19,0:02:11,0:01:33,Pablo Velasco,Travis Reed,10
"As a developer, I want to be able to query API endpoints to collect beer data from the brewtiful.world API",3,13/10/2017 21:43:00,0:01:01,0:00:22,Pablo Velasco,Travis Reed,15
"As a dark beer lover, I want to be able to find new stouts and porters, so that I can expand my beer horizons.",3,13/10/2017 21:42:27,0:00:27,0:00:13,Pablo Velasco,Travis Reed,12
"As a sports fan, I want to easily find reviews on local breweries and beers, so that I can stock my fridge with the best stuff for game day.",3,13/10/2017 21:41:58,0:00:23,0:00:15,Pablo Velasco,Travis Reed,15
"As a beer enthusiast, I want to find top-rated breweries, so that I can go try new beers from good breweries.",3,13/10/2017 21:40:57,0:00:32,0:00:19,Pablo Velasco,Travis Reed,10
"As a traveler, I want to be able to find the best beers in places I travel to, so that I can experience local brews.",3,13/10/2017 21:40:34,0:00:18,0:00:10,Pablo Velasco,Travis Reed,2
"As a curious person, I want an easy way to learn about different styles of beer, so that I can better understand the profile of new beers I try.",2,13/10/2017 21:37:17,0:02:49,0:00:32,Pablo Velasco,Travis Reed,4
"As a student, I want to be able to read many reviews on beers and breweries, so that I can easily find the best option for drinking away my sorrows after a SWE test.",3,13/10/2017 21:31:26,0:01:03,0:00:48,Pablo Velasco,Travis Reed,5
"As a bar owner, I want to easily view many breweries, so that I can learn about great places to get beer for stocking my bar.",3,13/10/2017 21:29:13,0:02:09,0:01:34,Pablo Velasco,Travis Reed,7
"As a beer enthusiast, I want to see many beers listed on the beer page, so that I can easily access and learn about many different beers.",3,13/10/2017 21:09:41,0:01:54,0:01:14,Pablo Velasco,Travis Reed,10
